question,document
How do I know if the YAML generated for a Kestra plugin matches the version I'm actually running?,93a3e8b98c
"What's the correct way to write a GCS upload step in Kestra, and why is to used instead of separate bucket and name fields?",93a3e8b98c
"For the BigQuery LoadFromGcs plugin, how should I set the destination table without using projectId, dataset, and table separately?",93a3e8b98c
What’s the safest way to check AI-generated Kestra flow YAML before I run it in my environment?,93a3e8b98c
Why do people track token usage in Kestra LLM workflows?,a4adc70f41
How does checking tokens help with LLM cost control in scheduled flows?,a4adc70f41
What’s the point of watching token counts when tuning prompts?,a4adc70f41
How can token monitoring stop a Kestra loop from getting too expensive?,a4adc70f41
Where do you usually grab token usage from in an AI task response?,a4adc70f41
"How do I get rid of the Docker Desktop ""mounts denied"" error when it says a /tmp path isn’t shared from the host?",dd8b4c9fda
What should I change in Docker Desktop if Kestra fails because the host folder under /tmp can’t be mounted?,dd8b4c9fda
Where in Docker Desktop do I add /tmp so my container can access the path it needs?,dd8b4c9fda
"Why does Docker complain that /tmp/kestra-wd is not shared, and how can I allow it?",dd8b4c9fda
"After adding the missing path in Docker Desktop, do I need to restart anything before running docker compose up -d again?",dd8b4c9fda
"For the Module 3 Kestra homework, what exactly should I upload to a public repo if I did everything in the Kestra UI?",f29f622684
"Do I need to commit the Kestra flow YAML files for homework submission, or is a README enough?",f29f622684
"If my Kestra flows call scripts, should I add those scripts to the repo too?",f29f622684
Where in the repo should I place the homework flows before sharing the link for submission?,f29f622684
"When submitting Module 3 homework, do I put the answers to Q1, Q2, etc. in the repo or directly in the form?",f29f622684
Why do I keep getting `JSONDecodeError: Expecting value` when I try to parse the LLM output with `json.loads()` in the evaluation task?,a3c7e1b4f9
How can I make the model return only valid JSON instead of markdown fences or extra text when generating ground-truth questions?,a3c7e1b4f9
What should I pass to the OpenAI chat completions API so the response comes back as a JSON object I can parse reliably?,a3c7e1b4f9
"Do I still need to tell the model the exact JSON shape in the prompt, or is API-level JSON mode enough for this assignment?",a3c7e1b4f9
"Is there a similar setting for other LLM providers if I’m not using OpenAI, like Gemini or Groq?",a3c7e1b4f9
Why does my Jupyter notebook crash when I try to embed the ground-truth data in the evaluation notebook?,b8f2d6a30c
What can I do if loading the embedding model makes Codespaces run out of memory?,b8f2d6a30c
Is there a smaller sentence-transformers model I can use instead of the default embedder for the eval task?,b8f2d6a30c
Can I do the embedding step in a separate Python file and then bring the vectors back into Jupyter?,b8f2d6a30c
How do I avoid memory issues on low-RAM laptops or default Codespaces when processing the ground-truth set?,b8f2d6a30c
Why am I still getting rate-limit errors on Gemini even after adding `time.sleep(4)` in my loop?,c1e9f4b820
What can I use instead of free-tier Gemini if I want to generate the whole ground-truth set without constantly hitting limits?,c1e9f4b820
"Is `gpt-4o-mini` worth paying a few dollars for this task, or is there a cheaper free option with better limits?",c1e9f4b820
How do I make my thread-pool code less likely to get blocked by API quotas when generating labels?,c1e9f4b820
"If my run stops halfway because of quota issues, what’s the best way to continue without losing the results I already got?",c1e9f4b820
How do I fix the WinError 126 problem when torch can't load fbgemm.dll on Windows?,15e931476c
Is the missing fbgemm.dll error usually caused by not having the Visual C++ Redistributable installed?,15e931476c
"Do I need full Visual Studio on Windows for this torch import error, or is VS Code enough?",15e931476c
"What should I install first if I get ""Error loading fbgemm.dll or one of its dependencies"" in Python on Windows?",15e931476c
Where can I read more about the PyTorch fbgemm.dll dependency issue on Windows?,15e931476c
"Why do I get ""could not translate host name postgres to address"" when I run prep.py, and what should I set POSTGRES_HOST to?",4b65d5542d
I’m seeing a psycopg2 OperationalError about the postgres host not being found. How can I fix the .env settings?,4b65d5542d
"When I execute python prep.py, it fails with No such host is known for postgres. What’s the right host value in .env?",4b65d5542d
How do I resolve the host name error from psycopg2 in Module 5 monitoring setup?,4b65d5542d
My prep.py crashes because it can’t resolve postgres. What change should I make in the environment file?,4b65d5542d
How do I make Pandas show the full text in a column instead of cutting it off in the notebook?,641aedbbf5
"In the offline-rag-evaluation notebook, how can I see the whole Explanation text from the LLM judge output?",641aedbbf5
What Pandas setting do I change so long column values don't get truncated to 50 characters?,641aedbbf5
"Why does my Explanation column show ""..."", and how can I display the complete content?",641aedbbf5
Is there a way to tell Pandas to use unlimited column width when viewing text data?,641aedbbf5
How can I normalize a vector stored in a Pandas DataFrame column?,5039707c1a
What's the easiest way to make each vector in a Pandas Series have unit length?,5039707c1a
Can I use apply with NumPy to normalize values in a DataFrame column?,5039707c1a
How do I write a function that divides a vector by its norm in Pandas?,5039707c1a
What’s a simple example of normalizing vectors from one column into a new column?,5039707c1a
How do I get the 75th percentile of a pandas DataFrame column?,b4c8ac5a0c
What's the pandas way to compute a 0.75 quantile for a Series?,b4c8ac5a0c
How can I find a column's percentile value in pandas without doing it manually?,b4c8ac5a0c
Is there a simple .quantile() example for a DataFrame column in pandas?,b4c8ac5a0c
How do I calculate a 75% quantile from df['col'] in pandas?,b4c8ac5a0c
"How do I delete every Docker container, even the running ones, from the terminal?",66ccbb7da0
What's the command to remove all Docker images at once?,66ccbb7da0
How can I clean up all my Docker volumes in one go?,66ccbb7da0
"Is there a quick way to wipe containers, images, and volumes from Docker CLI?",66ccbb7da0
What terminal commands can I use to fully clean my Docker setup?,66ccbb7da0
How do I make sure a user can only leave feedback once per submission in Streamlit?,2e729f1271
Why does `st.session.submitted` keep getting set back to `True` after I press a feedback button?,2e729f1271
"I want the feedback buttons to disable after I hit Ask, but `st.session.submitted` seems to change again — what am I missing?",2e729f1271
Is there a fix for Streamlit session state being reassigned even after one feedback action?,2e729f1271
Where can I find the solution for the issue where Streamlit session attributes get reassigned and the submit state breaks?,2e729f1271
"Why do I get ""streamlit: executable file not found in $PATH"" when I start my app with docker-compose, even though it works locally?",e8df9f0d12
What do I need to add to my docker-compose setup so a Streamlit app can actually run inside the container?,e8df9f0d12
"Do I have to rebuild the image after changing docker-compose for a Streamlit app, and if so what command should I use?",e8df9f0d12
Could this Docker error mean I'm missing a Dockerfile for my Streamlit app?,e8df9f0d12
"My Streamlit app runs fine outside Docker, but fails in compose with an exec error — what steps should I check first?",e8df9f0d12
"Can we do the capstone as a team, or does each person need their own project?",0fab61eca2
"If two students work on one big idea, is that allowed for the capstone?",0fab61eca2
"Can my capstone be part of a shared system with other people, or does it have to stand alone?",0fab61eca2
What if we want to collaborate on the same project — how separate do the submissions need to be?,0fab61eca2
"Does the capstone need to be individually evaluable, or can one repository cover multiple students?",0fab61eca2
"Do I need to hand in two capstone projects, or just one?",d5fc98925d
What do attempt 1 and attempt 2 mean for the project submission?,d5fc98925d
"If my first submission gets rejected, can I fix it and send it again later?",d5fc98925d
"Can I submit two projects just to get more practice, and if so do they need different datasets and problem statements?",d5fc98925d
"If I miss the first submission deadline, can I still submit in the second window and keep going?",d5fc98925d
"Does the competition itself count as the capstone project, or is it something separate?",e892d44e42
Can I use the math-kaggle-llm competition as my capstone submission?,e892d44e42
Are we allowed to do the capstone in teams if we join the competition?,e892d44e42
"If I participate in the math-kaggle-llm competition with a group, does that replace the individual capstone?",e892d44e42
Is the capstone project supposed to be individual even if I team up for the competition?,e892d44e42
How will my capstone project be graded in the end?,9a2e2d2008
Who reviews the capstone project after I submit it?,9a2e2d2008
"Do I also have to review other students' projects, or is it only my own work?",9a2e2d2008
What happens if I don't grade the other projects I'm assigned to review?,9a2e2d2008
Is the final project score based on the average of the peer reviews or something else?,9a2e2d2008
"After the submission deadline, how are the projects for review/grading assigned to each participant?",eae0fb50aa
When do we get the list or sheet with the projects we need to review?,eae0fb50aa
How many projects will each participant be assigned for grading?,eae0fb50aa
Is the review assignment done before or after the submission deadline?,eae0fb50aa
What format will be used to share the project assignments for peer review?,eae0fb50aa
"I already turned in my capstone project, so why don’t I see anything to review yet?",a8a7fef016
"After the deadline passes, how do project reviews get assigned to us?",a8a7fef016
"Can I pick which submitted projects I want to evaluate, or is it assigned automatically?",a8a7fef016
Why is the review page still empty even though I’ve submitted my project already?,a8a7fef016
Is there any way to start reviewing projects before the release list comes out?,a8a7fef016
Where can I look for project ideas and possible datasets for the capstone?,e76a70cde3
Is there a page with examples of datasets I can use for the project?,e76a70cde3
I’m stuck on choosing a project topic — do you have a GitHub link with ideas and guidance?,e76a70cde3
What’s the best place to find inspiration and datasets for the capstone project?,e76a70cde3
"Can you point me to a resource that lists project ideas, datasets, and some tips?",e76a70cde3
"Do I need Airflow, Mage, or Kestra for the capstone ingestion pipeline, or is a normal Python script enough?",d4f7c08ea1
"If I build the data ingestion and indexing in a Jupyter notebook, do I still get full points for that part?",d4f7c08ea1
When would it make sense to use an orchestrator in the capstone project instead of just a script?,d4f7c08ea1
Can I skip an orchestration tool entirely and still satisfy the ingestion pipeline requirement?,d4f7c08ea1
"Is using Airflow/Mage/Kestra required for daily feed ingestion, or only if the project really needs recurring runs?",d4f7c08ea1
How can I evaluate a recommender-style RAG when I don’t have clear ground-truth answers?,9b0e2d6a47
What’s a good way to build synthetic test queries for item retrieval in a RAG recommender project?,9b0e2d6a47
Can I use an LLM as a judge to score the quality of my RAG recommendations end to end?,9b0e2d6a47
"For ranking tasks with several acceptable results, is NDCG better than hit rate?",9b0e2d6a47
"How would I measure whether my retriever returns the right item near the top, not just somewhere in the list?",9b0e2d6a47
"For a big corpus with long PDFs and lots of paragraphs, what chunking approach should I start with?",6f2a8b3d10
Is it better to use fixed chunks first or try LLM-based section splitting right away?,6f2a8b3d10
"Should I add summaries to each chunk before indexing, or is that overkill?",6f2a8b3d10
"For legal or financial docs, would BM25 plus dense retrieval work better than just semantic search?",6f2a8b3d10
What tools are good for turning PDFs into clean markdown before I split them up?,6f2a8b3d10
"What do you mean by reproducibility for the capstone project, and do reviewers need my API keys?",e5d8a2c761
How should I let someone rebuild the search index from my repo without giving away secrets?,e5d8a2c761
"Should I commit a real .env file, or just some example with the variable names?",e5d8a2c761
"What’s the best way to make sure the project runs the same on another machine, like Python or Docker versions?",e5d8a2c761
"Can I use an expensive model in the project, or should I stick to a cheaper one for the reviewer?",e5d8a2c761
"Can I do the homework and capstone in JavaScript or another language instead of Python, or is Python basically required?",ea815eb858
"If I choose Go, Rust, TypeScript, Java, or something else for the project, will that be allowed, and what should I keep in mind?",ea815eb858
How detailed does the README need to be when I submit a non-Python solution for the course?,ea815eb858
"Do I need to explain setup and running instructions for Windows, macOS, and Linux if I use a different stack?",ea815eb858
What kind of reproducibility or run commands should I include if my homework or project is not written in Python?,ea815eb858
Where can I look at past LLM Zoomcamp capstone projects to get ideas?,930286278d
Is there a page with previous LLM Zoomcamp project submissions I can browse?,930286278d
Can I see examples of projects from the 2024 and 2025 LLM Zoomcamp?,930286278d
Where are the old capstone project repos for LLM Zoomcamp listed?,930286278d
Do you have links to earlier LLM Zoomcamp projects so I can check the expected level?,930286278d
"Do I have to announce my capstone idea before I start, or can I just begin without reserving it?",897a350476
"Is there any need to reserve a project topic for the LLM Zoomcamp capstone, or is it open for anyone to use?",897a350476
"Can I work on a capstone project idea without posting it first, and still get feedback later if I need it?",897a350476
Are duplicate or similar capstone ideas allowed as long as the implementation is different and meets the requirements?,897a350476
Where can I check past LLM Zoomcamp projects to get a sense of the right scope for my own capstone?,897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a website?,7318a90b14
"Is a web app required for the project, or can I use some other interface?",7318a90b14
Would a CLI or notebook count as a valid way to present the project?,7318a90b14
Are there any rules about how the end user should access the capstone?,7318a90b14
"Does the course show how to make Slack, WhatsApp, or Telegram interfaces, or do I need to handle that myself?",7318a90b14
"What’s a good tool to pull text out of PDFs for a RAG app, and does the course recommend one specific library?",d8b28c47a0
"If my PDFs are scanned images instead of real text, what OCR option should I use for extraction?",d8b28c47a0
"How do docling, PyMuPDF, and unstructured compare when I need to turn documents into clean text or Markdown for retrieval?",d8b28c47a0
Is there a hosted OCR service I can call instead of running Tesseract locally for my document pipeline?,d8b28c47a0
"After I extract text from PDFs, what should I do next to get the documents ready for RAG?",d8b28c47a0
"Can I reuse the workshop content in my own capstone project, or is it only for the class exercises?",d850a0e7ea
"Since dlt is open-source, am I allowed to take parts of this workshop and use them in another project?",d850a0e7ea
"Would it be okay to apply the workshop ideas in a different Zoomcamp project, like the MLOps one?",d850a0e7ea
"If I’m building something outside the workshop, can I still use dlt there?",d850a0e7ea
"Are we supposed to just learn from the materials, or can we actually use them and ask questions while working on our own projects?",d850a0e7ea
How do I start a new dlt project for loading data from cloud storage?,6bceeebf04
What's the command to initialize a filesystem-to-duckdb pipeline in dlt?,6bceeebf04
"If I want to use dlt with files from cloud and store them in DuckDB, how do I begin?",6bceeebf04
What should I run first when setting up a fresh dlt project with filesystem as source?,6bceeebf04
Is there a simple dlt init command for the filesystem and duckdb setup?,6bceeebf04
"Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I run `db.open_table(""notion_pages___homework"")`?",0407213397
"I changed the table name to `notion_pages___homework`, but it still says the table doesn’t exist. What am I missing?",0407213397
"How come `db.create_table(notion_pages___homework, data)` is suggested even though I already have a pipeline set up?",0407213397
"I renamed part of the pipeline to homework, but opening the table still fails. Is there another `employee_handbook` value I need to replace?",0407213397
What does this error usually mean in the dlt workshop when the table name was updated but the database can’t find it?,0407213397
Why am I getting FileNotFoundError that says table notion_pages___homework does not exist when I run main() in the dlt workshop?,e95bfafc0e
"How do I fix the error about db.create_table(notion_pages___homework, data) if the table is missing?",e95bfafc0e
"In the open-source data ingestion homework, what should I put on line 3 to open the right table?",e95bfafc0e
Is the issue with notion_pages___homework caused by using the wrong table name in the code?,e95bfafc0e
What is the correct db.open_table call for the homework table in this workshop?,e95bfafc0e
How can I see all the tables that are currently in my database?,e394e6f738
Is there a quick way to list table names in the db?,e394e6f738
What method should I call if I want to know which tables exist?,e394e6f738
How do I check the tables available in the database using dlt?,e394e6f738
Can I get a list of all db tables with a built-in function?,e394e6f738
"Does dlt already support ClickHouse or StarRocks connectors, or not yet?",cd19f122f3
Is there any built-in connector in dlt for ClickHouse?,cd19f122f3
"Can I use dlt with StarRocks somehow, or is that missing for now?",cd19f122f3
Are ClickHouse and StarRocks supported by dlt out of the box?,cd19f122f3
"If dlt doesn't have ClickHouse or StarRocks connectors, can the community add them?",cd19f122f3
Why am I getting a 401 Unauthorized from the Notion search API in the notebook?,0dfba07ace
What should I check if the notebook says it has no secret access to Notion?,0dfba07ace
Could this Notion API error be caused by a wrong key or expired token?,0dfba07ace
How do I fix an authorization issue when calling api.notion.com/v1/search?,0dfba07ace
Do I need to verify permissions or endpoint settings for the Notion API in this workshop notebook?,0dfba07ace
"Why is pip giving me requests 2.28 when I need 2.32 for lancedb, and how do I force the newer one?",4b30b918bc
What’s the command to install requests straight from GitHub so I get v2.32.3?,4b30b918bc
"If I’m seeing a 401 Client Error while using this setup, does it mean my key is wrong or not allowed?",4b30b918bc
How do I fix the requests version issue without waiting for the normal pip package to update?,4b30b918bc
Is there a way to install the exact requests release used for lancedb from the source zip?,4b30b918bc
